"Video_id","Video_title","Published_at","Duration","Video_type","View_count","Like_count","Comment_count"
k194wHZHjB0,Most Expensive Hand Model Holds Feastables,2024-02-24 18:00:09.000,00:00:22,Short,799692471,13592502,13849
vBpQ1SlfVtU,World’s Largest Dominoes Vs Store,2023-09-02 16:00:00.000,00:14:59,Normal,283930769,5856819,144315
ooAwCOP67GQ,Do Pawnshops Scam You?,2023-06-03 16:59:57.000,00:00:33,Short,478321035,16994303,27142
PKtnafFtfEo,YOUTUBE REWIND: 2020,2021-01-01 21:00:03.000,00:06:31,Normal,73538638,5010254,272263
C680oxL__ck,"I Ate $100,000 Golden Ice Cream",2021-01-22 21:00:03.000,00:13:17,Normal,309445642,6185052,173119
uocETPj4Jx4,"Extreme $500,000 Game Of Tag!",2021-09-04 20:00:07.000,00:12:33,Normal,236622422,4802178,97177
YlvcFJOE-OE,Giving iPhones Instead Of Candy on Halloween,2022-11-02 21:00:01.000,00:00:40,Short,1840498733,42196066,156812
YLt73w6criQ,I Paid A Real Assassin To Try To Kill Me,2023-03-18 20:00:01.000,00:12:17,Normal,339459766,6502536,104958
urtFrxDUV6c,"Would You Quit School For $100,000?",2021-07-10 20:00:09.000,00:10:12,Normal,191291694,3711000,83028
qIsgdOVGA04,"Last To Take Hand Off Lamborghini, Keeps It",2021-10-23 20:00:01.000,00:15:08,Normal,202518612,4819353,126463
TJ2ifmkGGus,"1,000 Blind People See For The First Time",2023-01-28 21:00:00.000,00:08:01,Normal,218646853,10378739,377926
zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",2021-08-31 20:01:03.000,00:17:44,Normal,560336228,7923389,133255
NZlClr_ivb4,"Hit The Target, Win $300,000",2021-06-12 20:00:01.000,00:13:17,Normal,226443633,3774591,80051
h5NvTTOlOtI,Real Life Spider-Man Vs Skyscraper,2022-12-10 21:00:01.000,00:10:25,Normal,280452819,5860236,124522
AKJfakEsgy0,Hi Me In 5 Years,2020-10-04 20:00:54.000,00:02:08,Normal,149506889,7367037,264613
LeYsRMZFUq0,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",2020-12-15 21:00:11.000,00:14:18,Normal,246012520,7102298,185546
fMfipiV_17o,"Would You Sit In Snakes For $10,000?",2021-04-10 21:00:07.000,00:14:07,Normal,410857042,5792791,139981
iogcY_4xGjo,"$1 vs $1,000,000 Hotel Room!",2022-10-22 21:00:00.000,00:15:41,Normal,459306036,7760954,117143
"9bqk6ZUsKyA",I Spent 50 Hours Buried Alive,2021-03-27 20:00:04.000,00:12:40,Normal,344082037,8353742,242189
Vl3swga-Xrk,"Would You Rather Have A Giant Diamond or $100,000?",2020-09-26 20:40:02.000,00:12:24,Normal,210226475,3088381,71548
UE5AHE2Ypr8,"I Gave My 40,000,000th Subscriber 40 Cars",2020-09-19 20:00:02.000,00:17:11,Normal,216243629,4909729,185076
TDiXxsQ0w2Q,Why I Haven’t Been Uploading,2020-09-17 20:00:05.000,00:05:54,Normal,59440600,2775301,93889
vJH28ICkCdU,I Sold My House For $1,2021-03-06 21:00:02.000,00:09:20,Normal,190559960,4097557,116906
oD155zWANQg,"Get This Random Person 1,000,000 Subscribers",2020-09-05 20:00:17.000,00:14:05,Normal,87938728,2642016,119348
s1ax8Tx_Jz0,Would YOU Rather Have A Lamborghini or This House?,2020-08-22 20:00:01.000,00:18:26,Normal,235582946,4182141,150680
Hwybp38GnZw,I Built Willy Wonka's Chocolate Factory!,2022-06-04 20:00:02.000,00:16:11,Normal,380428384,6955064,155645
DuQbOQwVaNE,"Offering People $100,000 To Quit Their Job",2021-03-13 21:00:02.000,00:10:27,Normal,170729389,3546220,111216
_uwNDiU04zE,"I Donated $300,000 To People In Need",2021-02-13 21:00:01.000,00:10:54,Normal,57719228,3024994,142802
"5Fg9oZk-5uA",I Bought Everything In 5 Stores,2021-01-09 21:01:25.000,00:13:50,Normal,218157888,5791870,192606
FbM1yi4mMMc,I Bought A Private Island,2020-08-13 20:00:07.000,00:11:37,Normal,187035459,4011573,126830
Y0cBiGUuB1Y,I Sent a Subscriber to Disneyland,2023-03-30 20:00:00.000,00:00:27,Short,803832412,30444318,81911
S_CUEOBZ0P4,"The Rock Vs MrBeast For $100,000",2022-10-21 20:00:06.000,00:00:55,Short,732153365,36429770,82103
gHzuabZUd6c,"Survive 100 Days In Circle, Win $500,000",2022-09-24 19:59:59.000,00:17:10,Normal,423957539,6369445,101738
"65fN_OUawjk",I Hunted 100 People!,2022-09-03 19:59:59.000,00:12:03,Normal,274542639,4051216,65815
jdMNoQE3mIQ,Can I Survive A Plane Crash?,2022-08-20 20:00:00.000,00:08:14,Normal,234302562,4280732,73912
"2isYuQZMbdU","100 People Fight For A Private Island",2022-08-04 19:59:59.000,00:15:31,Normal,263149779,7176682,224494
"00NgUctWoLQ","Extreme $1,000,000 Hide And Seek",2021-12-18 21:00:00.000,00:12:09,Normal,111108411,3647188,116089
x9TQ6culXIA,"World's Biggest YouTubers Fight for $1,000,000",2021-12-16 21:00:00.000,00:12:05,Normal,107506072,3127441,83284
QbJJwaVdgIs,I Got Hunted By The Military,2021-12-10 21:30:02.000,00:10:27,Normal,269998122,4880162,93674
"0e3GPea1Tyg","$456,000 Squid Game In Real Life!",2021-11-24 21:00:01.000,00:25:42,Normal,942675344,20075602,655179
E6E22XQPhhg,Anything You Can Fit In The Triangle I’ll Pay For,2021-06-01 20:00:02.000,00:16:08,Normal,273810107,3682482,82318
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,2021-04-24 20:00:00.000,00:13:28,Normal,241595625,4379230,119800
WcwGleN38zE,"Extreme $100,000 Game of Tag!",2021-04-17 20:00:00.000,00:16:39,Normal,274578305,4025020,116432
cV2gBU6hKfY,I Cleaned The World’s Dirtiest Beach #TeamSeas,2021-10-29 19:59:43.000,00:04:55,Normal,136750203,5605995,166012
NkE0AMGzpJY,"Last To Leave $800,000 Island Keeps It",2020-08-15 20:00:02.000,00:21:15,Normal,298552092,5909323,224033
ayXxwJJId_c,"I Bought The World's Largest Mystery Box! ($500,000)",2021-04-03 20:00:01.000,00:10:50,Normal,306560304,5558096,174003
"7IKab3HcfFk",I Survived 50 Hours In Antarctica,2022-12-24 20:59:59.000,00:12:10,Normal,260389591,5870323,142968
cExLQ1o2pDw,"First To Rob Bank Wins $100,000",2021-09-26 20:00:06.000,00:08:02,Normal,217124648,4579053,117289
hxwpkM5w3Cc,I Got Hunted By The FBI,2021-08-07 23:00:03.000,00:15:51,Normal,273022708,4917600,98190
NPYPXWJBTWM,"$10,000 Girl Scout Cookies",2023-03-11 17:00:47.000,00:00:23,Short,770302487,14462614,20331
"0CTp1a-aCUM","100 Kids Fight Parents For $500,000",2022-12-03 21:00:00.000,00:15:23,Normal,345283993,4943694,93071
kX3nB4PpJko,"Last To Take Hand Off Jet, Keeps It!",2022-11-12 21:00:00.000,00:15:37,Normal,250128894,4967847,99717
